timestamp,windspeed_north,windspeed_east,covariance_north,covariance_east
521786113,0.0,0.0,0.0,0.0
521891616,0.0,0.0,0.0,0.0
521990906,0.0,0.0,0.0,0.0
522091545,0.0,0.0,0.0,0.0
522195097,0.0,0.0,0.0,0.0
522294886,0.0,0.0,0.0,0.0
522398896,0.0,0.0,0.0,0.0
522499544,0.0,0.0,0.0,0.0
522600601,0.0,0.0,0.0,0.0
522700595,0.0,0.0,0.0,0.0
522804521,0.0,0.0,0.0,0.0
522904645,0.0,0.0,0.0,0.0
523004565,0.0,0.0,0.0,0.0
523108656,0.0,0.0,0.0,0.0
523210740,0.0,0.0,0.0,0.0
523310307,0.0,0.0,0.0,0.0
523410271,0.0,0.0,0.0,0.0
523514256,0.0,0.0,0.0,0.0
523614256,0.0,0.0,0.0,0.0
523718652,0.0,0.0,0.0,0.0
523820213,0.0,0.0,0.0,0.0
523919687,0.0,0.0,0.0,0.0
524022475,0.0,0.0,0.0,0.0
524123813,0.0,0.0,0.0,0.0
524223766,0.0,0.0,0.0,0.0
524325321,0.0,0.0,0.0,0.0
524426058,0.0,0.0,0.0,0.0
524530064,0.0,0.0,0.0,0.0
524629317,0.0,0.0,0.0,0.0
524733974,0.0,0.0,0.0,0.0
524833841,0.0,0.0,0.0,0.0
524935005,0.0,0.0,0.0,0.0
525035659,0.0,0.0,0.0,0.0
525138875,0.0,0.0,0.0,0.0
525238985,0.0,0.0,0.0,0.0
525338985,0.0,0.0,0.0,0.0
525443613,0.0,0.0,0.0,0.0
525544593,0.0,0.0,0.0,0.0
525645243,0.0,0.0,0.0,0.0
525745093,0.0,0.0,0.0,0.0
525848877,0.0,0.0,0.0,0.0
525948994,0.0,0.0,0.0,0.0
526050343,0.0,0.0,0.0,0.0
526154609,0.0,0.0,0.0,0.0
526254200,0.0,0.0,0.0,0.0
526354885,0.0,0.0,0.0,0.0
526458087,0.0,0.0,0.0,0.0
526558683,0.0,0.0,0.0,0.0
526659471,0.0,0.0,0.0,0.0
526763447,0.0,0.0,0.0,0.0
526863031,0.0,0.0,0.0,0.0
526963406,0.0,0.0,0.0,0.0
527067435,0.0,0.0,0.0,0.0
527166921,0.0,0.0,0.0,0.0
527271071,0.0,0.0,0.0,0.0
527370916,0.0,0.0,0.0,0.0
527572726,0.0,0.0,0.0,0.0
528384674,0.0,0.0,0.0,0.0
528489096,0.0,0.0,0.0,0.0
528588494,0.0,0.0,0.0,0.0
