timestamp,roll,pitch,yaw,thrust
791489765,0.0525923,0.0934471,0.1805,0.0
791501998,0.0454588,0.0942475,0.181403,0.0
791513606,0.0397446,0.0940343,0.182918,0.0
791525554,0.0322255,0.0950754,0.183976,0.0
791537595,0.0194912,0.0954774,0.18528,0.0
791546306,0.0158935,0.0954181,0.186194,0.0
791557554,0.0087189,0.0964828,0.187155,0.0
791565492,0.0055453,0.0962947,0.188068,0.0
791581448,0.00865824,0.0964864,0.189692,0.0
791589512,0.00521275,0.0960566,0.190766,0.0
791605575,-0.00544663,0.0956856,0.192744,0.0
791617463,-0.0201129,0.0958282,0.19423,0.0
791625695,-0.0242415,0.0953712,0.195518,0.0
791639548,-0.0343237,0.0949764,0.197381,0.0
791649479,-0.0404502,0.0943686,0.198883,0.0
791659698,-0.048271,0.0935519,0.197887,0.0
791669917,-0.0535792,0.0921329,0.198462,0.0
791677536,-0.0604366,0.0912495,0.197814,0.0
791693544,-0.0662464,0.0888814,0.198751,0.0
791706124,-0.0789709,0.086113,0.197118,0.0
791713721,-0.0810162,0.0846452,0.197804,0.0
791721508,-0.0867462,0.0829312,0.197395,0.0
791737490,-0.0824618,0.0808824,0.200524,0.0
791753987,-0.0858315,0.07782,0.201753,0.0
791761497,-0.0916236,0.0760434,0.201272,0.0
791777927,-0.103725,0.0722388,0.200036,0.0
791785511,-0.105434,0.0708894,0.200644,0.0
791801598,-0.114281,0.0679251,0.200614,0.0
791813513,-0.11947,0.0660116,0.201402,0.0
791821511,-0.127155,0.0641087,0.200972,0.0
791837548,-0.138816,0.0607211,0.201014,0.0
791849529,-0.143584,0.0591502,0.201699,0.0
791857562,-0.156539,0.0565207,0.199538,0.0
791869470,-0.15912,0.0545407,0.200386,0.0
791877507,-0.164151,0.0525825,0.2,0.0
791894043,-0.164488,0.050666,0.200843,0.0
791901478,-0.167867,0.0489351,0.200455,0.0
791918048,-0.173499,0.0464091,0.199204,0.0
791925551,-0.172372,0.0461424,0.199438,0.0
791942489,-0.159833,0.0459123,0.202526,0.0
791953890,-0.15649,0.0450436,0.202943,0.0
791963986,-0.156803,0.0435412,0.202751,0.0
791977814,-0.159043,0.0404963,0.202483,0.0
791989545,-0.159761,0.038477,0.203333,0.0
791998246,-0.174811,0.0348155,0.20089,0.0
792010322,-0.180224,0.032708,0.201823,0.0
792019024,-0.189025,0.0300965,0.201104,0.0
792031108,-0.190668,0.0283686,0.201696,0.0
792039699,-0.196491,0.0257444,0.200841,0.0
792051092,-0.194534,0.0243561,0.201159,0.0
792063272,-0.197057,0.0211743,0.199811,0.0
792072473,-0.192566,0.0207918,0.199608,0.0
792079137,-0.197435,0.0191425,0.197514,0.0
792095516,-0.191626,0.0207266,0.196469,0.0
792107714,-0.189771,0.023831,0.195041,0.0
792119167,-0.1879,0.0260702,0.194603,0.0
792127103,-0.186277,0.0281518,0.193524,0.0
792139048,-0.187183,0.030284,0.191529,0.0
792147158,-0.185479,0.0319862,0.190588,0.0
792161266,-0.179807,0.0340869,0.189985,0.0
792171129,-0.174598,0.0359281,0.189022,0.0
792181283,-0.156032,0.0376496,0.192283,0.0
792191114,-0.144875,0.0385426,0.191652,0.0
792199124,-0.133179,0.0380766,0.19196,0.0
792215369,-0.114819,0.0356674,0.190482,0.0
792227647,-0.0938906,0.0340188,0.190684,0.0
792235625,-0.0784267,0.0326653,0.191093,0.0
792247564,-0.0540015,0.0309549,0.191278,0.0
