timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust,landing_gear,q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,disable_mc_yaw_control,apply_flaps
634176368,-0.737404,0.188697,-0.608749,0.0,0.896137,-0.315973,0.19137,-0.24592,0.934696,0.0,1,0,0,0,0,0,0
634216379,-0.735535,0.187734,-0.61242,0.0,0.895967,-0.314935,0.191297,-0.247921,0.932608,0.0,1,0,0,0,0,0,0
634236425,-0.734464,0.187246,-0.613644,0.0,0.895978,-0.314414,0.191142,-0.248661,0.931783,0.0,1,0,0,0,0,0,0
634256448,-0.733452,0.186766,-0.616092,0.0,0.895826,-0.313802,0.191191,-0.249942,0.931011,0.0,1,0,0,0,0,0,0
634276479,-0.732528,0.186251,-0.617323,0.0,0.89581,-0.313351,0.191042,-0.250676,0.930241,0.0,1,0,0,0,0,0,0
634296503,-0.732026,0.185766,-0.621001,0.0,0.89542,-0.312851,0.191343,-0.25246,0.929566,0.0,1,0,0,0,0,0,0
634316523,-0.731525,0.185287,-0.621001,0.0,0.895492,-0.312702,0.19107,-0.252595,0.928707,0.0,1,0,0,0,0,0,0
634336606,-0.730783,0.184764,-0.624678,0.0,0.895134,-0.312101,0.191321,-0.254408,0.927718,0.0,1,0,0,0,0,0,0
634356631,-0.730483,0.184275,-0.624678,0.0,0.895174,-0.312045,0.191069,-0.254526,0.926892,0.0,1,0,0,0,0,0,0
634376695,-0.73019,0.183804,-0.628356,0.0,0.894744,-0.311636,0.191399,-0.256286,0.926156,0.0,1,0,0,0,0,0,0
634396698,-0.729739,0.183349,-0.628356,0.0,0.894808,-0.311507,0.191143,-0.256412,0.925537,0.0,1,0,0,0,0,0,0
634416744,-0.729328,0.182896,-0.632034,0.0,0.894392,-0.311044,0.191464,-0.258179,0.924956,0.0,1,0,0,0,0,0,0
634436741,-0.728739,0.182443,-0.635711,0.0,0.894,-0.310501,0.191761,-0.259961,0.924214,0.0,1,0,0,0,0,0,0
634457022,-0.727941,0.18196,-0.635711,0.0,0.894117,-0.310222,0.191446,-0.260126,0.923288,0.0,1,0,0,0,0,0,0
634477987,-0.727444,0.181489,-0.639387,0.0,0.893707,-0.309723,0.191746,-0.261902,0.922394,0.0,1,0,0,0,0,0,0
634496820,-0.726909,0.181061,-0.64066,0.0,0.893616,-0.309432,0.191686,-0.262599,0.921525,0.0,1,0,0,0,0,0,0
634516788,-0.72593,0.180558,-0.64066,0.0,0.89376,-0.309076,0.191337,-0.262784,0.920354,0.0,1,0,0,0,0,0,0
634536815,-0.72543,0.180092,-0.644342,0.0,0.893344,-0.308575,0.191636,-0.264562,0.919151,0.0,1,0,0,0,0,0,0
634556824,-0.724688,0.179643,-0.644342,0.0,0.893452,-0.308317,0.191342,-0.264714,0.917958,0.0,1,0,0,0,0,0,0
634576847,-0.724025,0.179192,-0.648023,0.0,0.893057,-0.307742,0.191625,-0.266503,0.9168,0.0,1,0,0,0,0,0,0
634596854,-0.723074,0.178734,-0.649312,0.0,0.893024,-0.307269,0.191496,-0.267252,0.915651,0.0,1,0,0,0,0,0,0
634617130,-0.722156,0.178252,-0.651704,0.0,0.892836,-0.306709,0.19153,-0.268495,0.91442,0.0,1,0,0,0,0,0,0
634656909,-0.72046,0.177201,-0.656685,0.0,0.892406,-0.305647,0.191604,-0.271069,0.91207,0.0,1,0,0,0,0,0,0
634677634,-0.71991,0.176667,-0.656685,0.0,0.892481,-0.30549,0.191297,-0.271218,0.911054,0.0,1,0,0,0,0,0,0
634696969,-0.719307,0.176135,-0.660369,0.0,0.892062,-0.304956,0.191545,-0.273015,0.91016,0.0,1,0,0,0,0,0,0
634716992,-0.718704,0.175609,-0.661681,0.0,0.891965,-0.304649,0.191434,-0.273751,0.909308,0.0,1,0,0,0,0,0,0
634736986,-0.718002,0.175067,-0.664053,0.0,0.891737,-0.304199,0.191462,-0.274973,0.908349,0.0,1,0,0,0,0,0,0
634756985,-0.717156,0.17451,-0.66537,0.0,0.891674,-0.303789,0.191303,-0.275741,0.907169,0.0,1,0,0,0,0,0,0
634777111,-0.716339,0.17394,-0.666692,0.0,0.891605,-0.303393,0.191143,-0.27651,0.905822,0.0,1,0,0,0,0,0,0
634797027,-0.715771,0.173378,-0.670386,0.0,0.891168,-0.302881,0.191379,-0.278311,0.904603,0.0,1,0,0,0,0,0,0
