timestamp,error_count,differential_pressure_raw_pa,differential_pressure_filtered_pa,max_differential_pressure_pa,temperature
487607238,0,160.237,158.27,1406.31,20.1734
487667870,0,162.646,159.207,1406.31,20.2063
487715970,0,154.362,159.747,1406.31,20.122
487764150,0,161.903,160.035,1406.31,20.2249
487820618,0,154.581,160.075,1406.31,20.0963
487868752,0,162.518,159.887,1406.31,20.2763
487916162,0,154.781,159.684,1406.31,20.1277
487975909,0,164.679,159.557,1406.31,20.1048
488024162,0,174.943,159.988,1406.31,20.2449
488084076,0,167.583,161.194,1406.31,20.2306
488132605,0,164.26,162.225,1406.31,20.0991
488180205,0,160.042,163.026,1406.31,20.1277
488240267,0,165.098,163.47,1406.31,20.1105
488288816,0,167.255,163.668,1406.31,20.2692
488336790,0,149.949,163.651,1406.31,20.1048
488396768,0,156.886,162.901,1406.31,20.1277
488444048,0,162.532,161.918,1406.31,20.2335
488492739,0,159.623,160.813,1406.31,20.122
488552350,0,165.517,159.698,1406.31,20.1163
488597627,0,158.561,159.513,1406.31,20.1506
488659651,0,152.463,159.327,1406.31,20.1391
488705921,0,150.344,158.826,1406.31,20.182
488765507,0,164.008,158.031,1406.31,20.2249
488813632,0,151.416,157.598,1406.31,20.1248
488861428,0,158.785,157.184,1406.31,20.1105
488921507,0,160.461,157.355,1406.31,20.1334
488969569,0,166.64,157.642,1406.31,20.2177
489029429,0,161.066,157.754,1406.31,20.2135
489076839,0,154.153,157.606,1406.31,20.0214
489125626,0,166.55,157.437,1406.31,20.0757
489186641,0,166.94,157.798,1406.31,20.1672
489232101,0,154.372,158.355,1406.31,19.9957
489290583,0,164.208,158.928,1406.31,20.1586
489339320,0,152.044,159.388,1406.31,20.0357
489388100,0,158.98,159.322,1406.31,20.0586
489447597,0,159.399,158.675,1406.31,20.0643
489495711,0,159.833,158.176,1406.31,20.1248
489543248,0,164.846,158.201,1406.31,20.2363
489603886,0,161.037,159.085,1406.31,20.2015
489651382,0,175.376,160.309,1406.31,20.11
489711138,0,181.884,162.924,1406.31,20.1558
489760627,0,170.992,165.379,1406.31,20.0071
489808610,0,178.323,167.697,1406.31,20.1072
489868649,0,174.867,170.19,1406.31,20.06
489916740,0,163.617,171.634,1406.31,20.0357
489964781,0,167.178,172.336,1406.31,20.0843
490025224,0,168.002,172.48,1406.31,20.1386
490074852,0,173.096,172.186,1406.31,20.0071
490121742,0,160.332,171.851,1406.31,20.1057
490180760,0,173.086,171.019,1406.31,20.0357
490228985,0,183.465,170.495,1406.31,20.1486
490289070,0,174.343,170.348,1406.31,20.0529
490337745,0,169.092,170.535,1406.31,20.0243
490385718,0,179.79,170.713,1406.31,20.1272
490442484,0,178.647,170.921,1406.31,20.0829
490494825,0,172.039,171.267,1406.31,20.0214
490542566,0,177.247,171.658,1406.31,20.1786
490602664,0,172.01,172.061,1406.31,20.1072
490649619,0,173.267,172.272,1406.31,20.1243
490698109,0,173.296,172.456,1406.31,20.0386
490758701,0,167.416,172.543,1406.31,20.0014
490806400,0,177.143,172.608,1406.31,20.1772
490866562,0,157.724,172.391,1406.31,20.0414
490910725,0,164.231,171.65,1406.31,20.0872
490971568,0,163.813,170.07,1406.31,20.0814
491019923,0,160.042,168.444,1406.31,20.03
491067447,0,171.696,166.855,1406.31,20.1029
